model,layer_idx,shape_n,shape_d,mean,std,norm_mean,min,max
qwen,0,10000,1536,0.007819341495633125,0.4805699288845062,18.571853637695312,-7.51171875,9.1484375
qwen,3,10000,1536,0.015602638944983482,0.9335026741027832,36.13103485107422,-21.09375,17.875
qwen,6,10000,1536,0.012874315492808819,1.1316807270050049,44.08604431152344,-33.6875,25.015625
qwen,10,10000,1536,0.010916133411228657,1.2895458936691284,50.247962951660156,-41.03125,29.15625
qwen,13,10000,1536,0.007209110539406538,1.4703624248504639,57.43772506713867,-39.125,34.375
qwen,16,10000,1536,0.007363839074969292,1.5680406093597412,61.27256393432617,-47.9375,37.375
qwen,20,10000,1536,0.013746664859354496,2.2496626377105713,87.92528533935547,-56.3125,49.625
qwen,23,10000,1536,0.02002342790365219,4.186971187591553,163.54237365722656,-105.8125,111.625
qwen,27,10000,1536,-0.0005543840816244483,8.221346855163574,315.6842041015625,-610.0,601.0
