model,layer_idx,shape_n,shape_d,mean,std,norm_mean
pythia-3b,0,10000,2560,-0.006784504279494286,0.7089759111404419,35.72212600708008
pythia-3b,3,10000,2560,-0.01126271951943636,1.2771618366241455,50.23782730102539
pythia-3b,7,10000,2560,-0.012496561743319035,1.7867963314056396,64.41597747802734
pythia-3b,11,10000,2560,-0.014578215777873993,1.9673497676849365,74.2702865600586
pythia-3b,15,10000,2560,-0.013490179553627968,2.2161335945129395,90.65809631347656
pythia-3b,19,10000,2560,-0.003275341121479869,2.8542585372924805,130.1053009033203
pythia-3b,23,10000,2560,0.0222428347915411,4.2213568687438965,203.70042419433594
pythia-3b,27,10000,2560,0.017563410103321075,4.7168989181518555,229.0933074951172
pythia-3b,31,10000,2560,-0.007585448212921619,3.6295483112335205,176.4115753173828
