model,layer_idx,shape_n,shape_d,mean,std,norm_mean,min,max
gemma,0,10000,2304,-0.015618029981851578,1.5463504791259766,71.92939758300781,-58.40625,64.875
gemma,3,10000,2304,0.014307602308690548,1.7618210315704346,82.48701477050781,-38.21875,76.5625
gemma,6,10000,2304,0.029067428782582283,1.9601861238479614,92.13087463378906,-40.34375,108.1875
gemma,9,10000,2304,0.044009484350681305,2.571728467941284,121.28202819824219,-122.1875,237.5
gemma,12,10000,2304,0.06450562179088593,3.0875117778778076,145.38795471191406,-311.75,581.0
gemma,15,10000,2304,0.06822531670331955,4.14614200592041,196.5761260986328,-202.375,511.25
gemma,18,10000,2304,0.08760546892881393,5.645902156829834,268.26715087890625,-115.5625,265.25
gemma,21,10000,2304,0.0811757892370224,8.28247356414795,394.6038513183594,-213.75,380.0
gemma,25,10000,2304,-0.11859232932329178,15.997539520263672,741.7586059570312,-1473.0,537.5
