model,layer_idx,shape_n,shape_d,mean,std,norm_mean,min,max
llama,0,10000,2048,0.00033423100830987096,0.03641767054796219,1.6196448802947998,-0.56689453125,0.7080078125
llama,1,10000,2048,0.0009701182134449482,0.05093860253691673,2.2825655937194824,-1.029296875,1.255859375
llama,3,10000,2048,0.0011925462167710066,0.07991557568311691,3.599515199661255,-1.849609375,1.6669921875
llama,5,10000,2048,0.0009782398119568825,0.09492508322000504,4.280826568603516,-2.056640625,1.662109375
llama,7,10000,2048,-0.00022913260909263045,0.10798691213130951,4.8714494705200195,-3.435546875,1.60546875
llama,9,10000,2048,-4.661942512029782e-05,0.15112696588039398,6.821523666381836,-4.203125,2.201171875
llama,11,10000,2048,-0.0009653735323809087,0.21463727951049805,9.67343521118164,-4.890625,3.177734375
llama,13,10000,2048,-0.002343377796933055,0.32114338874816895,14.462262153625488,-9.921875,4.26953125
llama,15,10000,2048,-0.0034582142252475023,0.5889536738395691,25.64262580871582,-56.1875,69.1875
