model,layer_idx,shape_n,shape_d,mean,std,norm_mean
llama-3b_e,0,10000,3072,0.00028271129122003913,0.03590504452586174,1.9528136253356934
llama-3b_e,3,10000,3072,0.0007148683653213084,0.08678779006004333,4.776552200317383
llama-3b_e,6,10000,3072,4.855611769016832e-05,0.1207653358578682,6.663043975830078
llama-3b_e,10,10000,3072,8.19574561319314e-05,0.14749835431575775,8.148743629455566
llama-3b_e,13,10000,3072,-6.470499647548422e-05,0.1910957396030426,10.559334754943848
llama-3b_e,16,10000,3072,-0.0003906917991116643,0.276705265045166,15.263245582580566
llama-3b_e,20,10000,3072,-0.0003095058782491833,0.4295443594455719,23.575788497924805
llama-3b_e,23,10000,3072,-0.0024072916712611914,0.5802540183067322,31.844263076782227
llama-3b_e,27,10000,3072,0.003670091973617673,1.0905297994613647,58.217220306396484
