layer_a,layer_b,method,rank,top1_accuracy,top5_accuracy,loss
18,23,baseline_model_a,N/A,0.7251712083816528,0.8613013625144958,11.556745529174805
18,23,low_rank_r32,32,0.0008561643771827221,0.0017123287543654442,35.12931442260742
18,23,low_rank_r64,64,0.0017123287543654442,0.0017123287543654442,36.411128997802734
18,23,low_rank_r128,128,0.0017123287543654442,0.0017123287543654442,37.40144729614258
18,23,low_rank_r256,256,0.0017123287543654442,0.0017123287543654442,38.69260025024414
18,23,ridge,full,0.0017123287543654442,0.0017123287543654442,40.266754150390625
18,23,oracle_model_b,N/A,0.7782101035118103,0.9066147804260254,4.425122261047363
